id,filename,name,category,subcategory,color_family,shape_variant,tags,width,height,alpha,bbox
rpg_0071,Icon71.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 1, 30, 30]"
rpg_0072,Icon72.png,blue polearm / spear,weapon,polearm,blue,,"blue, combat, equipment, polearm, weapon",32,32,True,"[2, 1, 30, 30]"
rpg_0073,Icon73.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[1, 1, 30, 30]"
rpg_0074,Icon74.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0075,Icon75.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0076,Icon76.png,dark polearm / spear,weapon,polearm,dark/black,,"combat, dark, equipment, polearm, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0077,Icon77.png,brown polearm / spear,weapon,polearm,brown/orange,,"brown, combat, equipment, polearm, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0078,Icon78.png,silver polearm / spear,weapon,polearm,silver/gray,,"combat, equipment, polearm, weapon",32,32,True,"[1, 1, 30, 30]"
rpg_0079,Icon79.png,blue polearm / spear,weapon,polearm,blue,,"blue, combat, equipment, polearm, weapon",32,32,True,"[1, 1, 30, 30]"
rpg_0080,Icon80.png,blue polearm / spear,weapon,polearm,blue,,"blue, combat, equipment, polearm, weapon",32,32,True,"[1, 0, 31, 31]"
rpg_0081,Icon81.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[7, 6, 26, 26]"
rpg_0082,Icon82.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[5, 5, 27, 27]"
rpg_0083,Icon83.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[6, 6, 26, 26]"
rpg_0084,Icon84.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[8, 5, 26, 26]"
rpg_0085,Icon85.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[5, 5, 27, 27]"
rpg_0086,Icon86.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[6, 3, 26, 26]"
rpg_0087,Icon87.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[3, 3, 26, 26]"
rpg_0088,Icon88.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[5, 5, 26, 26]"
rpg_0089,Icon89.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[6, 3, 26, 29]"
rpg_0090,Icon90.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[3, 2, 29, 30]"
rpg_0091,Icon91.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[5, 5, 28, 27]"
rpg_0092,Icon92.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0093,Icon93.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[3, 2, 29, 30]"
rpg_0094,Icon94.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[3, 3, 29, 29]"
rpg_0095,Icon95.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[4, 2, 28, 30]"
rpg_0096,Icon96.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[3, 3, 29, 29]"
rpg_0097,Icon97.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[1, 7, 31, 27]"
rpg_0098,Icon98.png,silver dagger / tool / weapon,weapon,miscellaneous,silver/gray,,"combat, equipment, miscellaneous, weapon",32,32,True,"[1, 7, 31, 27]"
rpg_0099,Icon99.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[0, 6, 31, 29]"
rpg_0100,Icon100.png,dark dagger / tool / weapon,weapon,miscellaneous,dark/black,,"combat, dark, equipment, miscellaneous, weapon",32,32,True,"[1, 7, 31, 30]"
rpg_0101,Icon101.png,dark bow,weapon,bow,dark/black,,"bow, combat, dark, equipment, weapon",32,32,True,"[5, 5, 27, 27]"
rpg_0102,Icon102.png,dark bow,weapon,bow,dark/black,,"bow, combat, dark, equipment, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0103,Icon103.png,dark bow,weapon,bow,dark/black,,"bow, combat, dark, equipment, weapon",32,32,True,"[1, 1, 31, 31]"
rpg_0104,Icon104.png,dark bow,weapon,bow,dark/black,,"bow, combat, dark, equipment, weapon",32,32,True,"[4, 4, 30, 30]"
rpg_0105,Icon105.png,dark bow,weapon,bow,dark/black,,"bow, combat, dark, equipment, weapon",32,32,True,"[3, 3, 29, 29]"
rpg_0106,Icon106.png,silver bow,weapon,bow,silver/gray,,"bow, combat, equipment, weapon",32,32,True,"[1, 1, 28, 28]"
rpg_0107,Icon107.png,dark bow,weapon,bow,dark/black,,"bow, combat, dark, equipment, weapon",32,32,True,"[3, 3, 30, 30]"
rpg_0108,Icon108.png,dark bow,weapon,bow,dark/black,,"bow, combat, dark, equipment, weapon",32,32,True,"[4, 4, 28, 28]"
rpg_0109,Icon109.png,dark bow,weapon,bow,dark/black,,"bow, combat, dark, equipment, weapon",32,32,True,"[3, 3, 30, 30]"
rpg_0110,Icon110.png,blue bow,weapon,bow,blue,,"blue, bow, combat, equipment, weapon",32,32,True,"[2, 2, 31, 31]"
rpg_0111,Icon111.png,blue bow,weapon,bow,blue,,"blue, bow, combat, equipment, weapon",32,32,True,"[3, 3, 28, 28]"
rpg_0112,Icon112.png,blue bow,weapon,bow,blue,,"blue, bow, combat, equipment, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0113,Icon113.png,blue bow,weapon,bow,blue,,"blue, bow, combat, equipment, weapon",32,32,True,"[3, 3, 29, 29]"
rpg_0114,Icon114.png,blue bow,weapon,bow,blue,,"blue, bow, combat, equipment, weapon",32,32,True,"[2, 2, 28, 28]"
rpg_0115,Icon115.png,silver bow,weapon,bow,silver/gray,,"bow, combat, equipment, weapon",32,32,True,"[3, 3, 30, 30]"
rpg_0116,Icon116.png,blue bow,weapon,bow,blue,,"blue, bow, combat, equipment, weapon",32,32,True,"[2, 2, 31, 31]"
rpg_0117,Icon117.png,blue bow,weapon,bow,blue,,"blue, bow, combat, equipment, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0118,Icon118.png,dark bow,weapon,bow,dark/black,,"bow, combat, dark, equipment, weapon",32,32,True,"[1, 1, 29, 29]"
rpg_0119,Icon119.png,silver bow,weapon,bow,silver/gray,,"bow, combat, equipment, weapon",32,32,True,"[2, 2, 28, 28]"
rpg_0120,Icon120.png,blue bow,weapon,bow,blue,,"blue, bow, combat, equipment, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0121,Icon121.png,dark crossbow,weapon,crossbow,dark/black,,"combat, crossbow, dark, equipment, weapon",32,32,True,"[4, 4, 25, 25]"
rpg_0122,Icon122.png,dark crossbow,weapon,crossbow,dark/black,,"combat, crossbow, dark, equipment, weapon",32,32,True,"[3, 3, 26, 26]"
rpg_0123,Icon123.png,dark crossbow,weapon,crossbow,dark/black,,"combat, crossbow, dark, equipment, weapon",32,32,True,"[1, 1, 25, 25]"
rpg_0124,Icon124.png,dark crossbow,weapon,crossbow,dark/black,,"combat, crossbow, dark, equipment, weapon",32,32,True,"[3, 3, 27, 27]"
rpg_0125,Icon125.png,dark crossbow,weapon,crossbow,dark/black,,"combat, crossbow, dark, equipment, weapon",32,32,True,"[2, 2, 28, 28]"
rpg_0126,Icon126.png,silver crossbow,weapon,crossbow,silver/gray,,"combat, crossbow, equipment, weapon",32,32,True,"[1, 1, 29, 29]"
rpg_0127,Icon127.png,dark crossbow,weapon,crossbow,dark/black,,"combat, crossbow, dark, equipment, weapon",32,32,True,"[1, 1, 29, 29]"
rpg_0128,Icon128.png,dark crossbow,weapon,crossbow,dark/black,,"combat, crossbow, dark, equipment, weapon",32,32,True,"[4, 4, 27, 27]"
rpg_0129,Icon129.png,dark crossbow,weapon,crossbow,dark/black,,"combat, crossbow, dark, equipment, weapon",32,32,True,"[4, 4, 28, 28]"
rpg_0130,Icon130.png,blue crossbow,weapon,crossbow,blue,,"blue, combat, crossbow, equipment, weapon",32,32,True,"[1, 1, 28, 28]"
rpg_0131,Icon131.png,blue crossbow,weapon,crossbow,blue,,"blue, combat, crossbow, equipment, weapon",32,32,True,"[3, 3, 27, 27]"
rpg_0132,Icon132.png,blue crossbow,weapon,crossbow,blue,,"blue, combat, crossbow, equipment, weapon",32,32,True,"[3, 3, 28, 28]"
rpg_0133,Icon133.png,dark crossbow,weapon,crossbow,dark/black,,"combat, crossbow, dark, equipment, weapon",32,32,True,"[1, 1, 26, 26]"
rpg_0134,Icon134.png,blue crossbow,weapon,crossbow,blue,,"blue, combat, crossbow, equipment, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0135,Icon135.png,silver crossbow,weapon,crossbow,silver/gray,,"combat, crossbow, equipment, weapon",32,32,True,"[2, 2, 28, 28]"
rpg_0136,Icon136.png,blue crossbow,weapon,crossbow,blue,,"blue, combat, crossbow, equipment, weapon",32,32,True,"[2, 2, 30, 30]"
rpg_0137,Icon137.png,blue crossbow,weapon,crossbow,blue,,"blue, combat, crossbow, equipment, weapon",32,32,True,"[2, 2, 29, 29]"
rpg_0138,Icon138.png,dark crossbow,weapon,crossbow,dark/black,,"combat, crossbow, dark, equipment, weapon",32,32,True,"[1, 1, 30, 30]"
rpg_0139,Icon139.png,silver crossbow,weapon,crossbow,silver/gray,,"combat, crossbow, equipment, weapon",32,32,True,"[3, 3, 27, 27]"
rpg_0140,Icon140.png,blue crossbow,weapon,crossbow,blue,,"blue, combat, crossbow, equipment, weapon",32,32,True,"[1, 1, 29, 29]"
rpg_0141,Icon141.png,brown shield,armor,shield,brown/orange,,"armor, brown, defense, equipment, shield",32,32,True,"[5, 5, 27, 27]"
rpg_0142,Icon142.png,silver shield,armor,shield,silver/gray,,"armor, defense, equipment, shield",32,32,True,"[1, 1, 31, 31]"
rpg_0143,Icon143.png,dark shield,armor,shield,dark/black,,"armor, dark, defense, equipment, shield",32,32,True,"[6, 6, 26, 28]"
rpg_0144,Icon144.png,blue shield,armor,shield,blue,,"armor, blue, defense, equipment, shield",32,32,True,"[6, 2, 26, 30]"
rpg_0145,Icon145.png,silver shield,armor,shield,silver/gray,,"armor, defense, equipment, shield",32,32,True,"[5, 3, 27, 30]"
rpg_0146,Icon146.png,silver shield,armor,shield,silver/gray,,"armor, defense, equipment, shield",32,32,True,"[4, 3, 28, 29]"
rpg_0147,Icon147.png,silver shield,armor,shield,silver/gray,,"armor, defense, equipment, shield",32,32,True,"[2, 2, 30, 30]"
rpg_0148,Icon148.png,dark shield,armor,shield,dark/black,,"armor, dark, defense, equipment, shield",32,32,True,"[6, 1, 26, 31]"
rpg_0149,Icon149.png,dark shield,armor,shield,dark/black,,"armor, dark, defense, equipment, shield",32,32,True,"[5, 2, 27, 31]"
rpg_0150,Icon150.png,silver shield,armor,shield,silver/gray,,"armor, defense, equipment, shield",32,32,True,"[7, 1, 25, 29]"
rpg_0151,Icon151.png,blue shield,armor,shield,blue,,"armor, blue, defense, equipment, shield",32,32,True,"[4, 3, 28, 28]"
rpg_0152,Icon152.png,dark shield,armor,shield,dark/black,,"armor, dark, defense, equipment, shield",32,32,True,"[2, 1, 30, 31]"
rpg_0153,Icon153.png,blue shield,armor,shield,blue,,"armor, blue, defense, equipment, shield",32,32,True,"[4, 2, 28, 30]"
rpg_0154,Icon154.png,blue shield,armor,shield,blue,,"armor, blue, defense, equipment, shield",32,32,True,"[2, 2, 30, 30]"
rpg_0155,Icon155.png,brown shield,armor,shield,brown/orange,,"armor, brown, defense, equipment, shield",32,32,True,"[3, 2, 29, 30]"
rpg_0156,Icon156.png,dark shield,armor,shield,dark/black,,"armor, dark, defense, equipment, shield",32,32,True,"[2, 2, 30, 31]"
rpg_0157,Icon157.png,blue shield,armor,shield,blue,,"armor, blue, defense, equipment, shield",32,32,True,"[4, 2, 28, 30]"
rpg_0158,Icon158.png,blue shield,armor,shield,blue,,"armor, blue, defense, equipment, shield",32,32,True,"[2, 2, 30, 30]"
rpg_0159,Icon159.png,dark shield,armor,shield,dark/black,,"armor, dark, defense, equipment, shield",32,32,True,"[1, 1, 31, 31]"
rpg_0160,Icon160.png,blue shield,armor,shield,blue,,"armor, blue, defense, equipment, shield",32,32,True,"[1, 1, 31, 31]"
rpg_0161,Icon161.png,silver helmet,armor,helmet,silver/gray,,"armor, defense, equipment, helmet",32,32,True,"[3, 3, 29, 29]"
rpg_0162,Icon162.png,dark helmet,armor,helmet,dark/black,,"armor, dark, defense, equipment, helmet",32,32,True,"[3, 4, 29, 29]"
rpg_0163,Icon163.png,silver helmet,armor,helmet,silver/gray,,"armor, defense, equipment, helmet",32,32,True,"[3, 3, 29, 30]"
rpg_0164,Icon164.png,dark helmet,armor,helmet,dark/black,,"armor, dark, defense, equipment, helmet",32,32,True,"[1, 2, 31, 30]"
rpg_0165,Icon165.png,dark helmet,armor,helmet,dark/black,,"armor, dark, defense, equipment, helmet",32,32,True,"[2, 4, 30, 28]"
rpg_0166,Icon166.png,silver helmet,armor,helmet,silver/gray,,"armor, defense, equipment, helmet",32,32,True,"[1, 3, 31, 29]"
rpg_0167,Icon167.png,silver helmet,armor,helmet,silver/gray,,"armor, defense, equipment, helmet",32,32,True,"[3, 1, 31, 31]"
rpg_0168,Icon168.png,dark helmet,armor,helmet,dark/black,,"armor, dark, defense, equipment, helmet",32,32,True,"[2, 1, 30, 30]"
rpg_0169,Icon169.png,dark helmet,armor,helmet,dark/black,,"armor, dark, defense, equipment, helmet",32,32,True,"[3, 2, 29, 30]"
rpg_0170,Icon170.png,blue helmet,armor,helmet,blue,,"armor, blue, defense, equipment, helmet",32,32,True,"[2, 1, 30, 30]"
rpg_0171,Icon171.png,blue helmet,armor,helmet,blue,,"armor, blue, defense, equipment, helmet",32,32,True,"[4, 2, 28, 30]"
rpg_0172,Icon172.png,dark helmet,armor,helmet,dark/black,,"armor, dark, defense, equipment, helmet",32,32,True,"[4, 1, 28, 30]"
rpg_0173,Icon173.png,blue helmet,armor,helmet,blue,,"armor, blue, defense, equipment, helmet",32,32,True,"[4, 2, 28, 31]"
rpg_0174,Icon174.png,blue helmet,armor,helmet,blue,,"armor, blue, defense, equipment, helmet",32,32,True,"[1, 2, 31, 28]"
rpg_0175,Icon175.png,red helmet,armor,helmet,red,,"armor, defense, equipment, helmet, red",32,32,True,"[5, 3, 27, 27]"
rpg_0176,Icon176.png,dark helmet,armor,helmet,dark/black,,"armor, dark, defense, equipment, helmet",32,32,True,"[2, 2, 30, 31]"
rpg_0177,Icon177.png,blue helmet,armor,helmet,blue,,"armor, blue, defense, equipment, helmet",32,32,True,"[4, 2, 28, 30]"
rpg_0178,Icon178.png,blue helmet,armor,helmet,blue,,"armor, blue, defense, equipment, helmet",32,32,True,"[3, 2, 29, 30]"
rpg_0179,Icon179.png,dark helmet,armor,helmet,dark/black,,"armor, dark, defense, equipment, helmet",32,32,True,"[3, 2, 29, 30]"
rpg_0180,Icon180.png,blue helmet,armor,helmet,blue,,"armor, blue, defense, equipment, helmet",32,32,True,"[3, 2, 29, 30]"
rpg_0181,Icon181.png,silver chest armor,armor,chest_armor,silver/gray,,"armor, chest_armor, defense, equipment",32,32,True,"[1, 3, 31, 30]"
rpg_0182,Icon182.png,silver chest armor,armor,chest_armor,silver/gray,,"armor, chest_armor, defense, equipment",32,32,True,"[4, 2, 28, 31]"
rpg_0183,Icon183.png,brown chest armor,armor,chest_armor,brown/orange,,"armor, brown, chest_armor, defense, equipment",32,32,True,"[1, 1, 31, 31]"
rpg_0184,Icon184.png,silver chest armor,armor,chest_armor,silver/gray,,"armor, chest_armor, defense, equipment",32,32,True,"[1, 1, 31, 31]"
rpg_0185,Icon185.png,silver chest armor,armor,chest_armor,silver/gray,,"armor, chest_armor, defense, equipment",32,32,True,"[4, 1, 30, 31]"
rpg_0186,Icon186.png,silver chest armor,armor,chest_armor,silver/gray,,"armor, chest_armor, defense, equipment",32,32,True,"[1, 2, 31, 31]"
rpg_0187,Icon187.png,silver chest armor,armor,chest_armor,silver/gray,,"armor, chest_armor, defense, equipment",32,32,True,"[0, 1, 32, 31]"
